"","From","To","Mean","UCI","p.value"
"301","ARG","MHL",2.13015735330617e-08,6.3904720599185e-08,0.336
"302","ARG","SXM",6.52668431079993e-07,1.30533686215999e-06,0.084
"303","ARG","SSD",3.58149695383343e-08,7.16299390766685e-08,0.076
"304","ARG","TJK",1.51248891003158e-08,4.53746673009475e-08,0.354
"305","ARG","VUT",6.04995564012633e-09,1.8149866920379e-08,0.318
"306","ARM","BGD",2.10602358709353e-08,5.54472120881853e-08,0.078
"307","ARM","BEN",8.64279377160904e-10,2.59283813148271e-09,0.343
"308","ARM","BOL",3.47438226739275e-10,1.04231468021782e-09,0.331
"309","ARM","VGB",2.15099644382257e-07,6.31356085016041e-07,0.095
"310","ARM","CMR",9.25296876324642e-09,2.46319622490858e-08,0.08
"311","ARM","COG",4.0188991037982e-08,1.20566973113946e-07,0.345
"312","ARM","CIV",2.32380802178854e-09,6.97142406536563e-09,0.349
"313","ARM","ETH",5.11883751391555e-08,1.53565125417467e-07,0.33
"314","ARM","GMB",8.58171159241685e-09,1.71634231848337e-08,0.089
"315","ARM","GHA",3.14993208060184e-08,6.67743563739625e-08,0.095
"316","ARM","MWI",3.88925719722407e-09,1.16677715916722e-08,0.322
"317","ARM","MDV",4.91664615327126e-09,9.83329230654251e-09,0.089
"318","ARM","MRT",7.15722747082906e-08,2.14716824124872e-07,0.33
"319","ARM","MNE",4.9057821041685e-09,9.811564208337e-09,0.099
"320","ARM","MOZ",3.87301336964757e-10,1.16190401089427e-09,0.342
"321","ARM","NAM",3.11140575777926e-08,9.33421727333776e-08,0.328
"322","ARM","NIC",2.54799977986702e-09,6.48209532870678e-09,0.094
"323","ARM","RWA",1.42606097231549e-08,4.27818291694648e-08,0.351
"324","ARM","SEN",1.29745947883194e-07,3.89237843649581e-07,0.353
"325","ARM","SLE",2.6940311381341e-08,6.62285286209735e-08,0.094
"326","ARM","SUR",7.80592782678984e-07,2.34177834803695e-06,0.356
"327","ARM","TUN",1.45069157385357e-09,3.48571203268282e-09,0.091
"328","ARM","URY",5.01073273349184e-05,0.00015025486023426,0.348
"329","ARM","ZWE",7.50847663694176e-09,2.25254299108253e-08,0.34
"330","ABW","ALB",4.32139688580452e-10,1.29641906574136e-09,0.325
"331","ABW","AGO",7.07989738752885e-09,1.43087906515634e-08,0.085
"332","ABW","ARM",6.57049254607899e-10,1.31807221565026e-09,0.081
"333","ABW","BOL",1.16190401089427e-09,3.48571203268282e-09,0.329
"334","ABW","BIH",3.87301336964757e-10,1.16190401089427e-09,0.348
"335","ABW","BWA",4.32139688580452e-10,1.29641906574136e-09,0.323
"336","ABW","BRN",2.08462936043565e-09,6.25388808130695e-09,0.339
"337","ABW","BGR",1.25158071412566e-09,2.60771936316937e-09,0.102
"338","ABW","KHM",7.3309465841987e-08,2.19928397525961e-07,0.326
"339","ABW","CMR",1.93650668482379e-09,5.80952005447136e-09,0.34
"340","ABW","CYP",1.28626647019366e-05,3.85879941058097e-05,0.345
"341","ABW","GIN",6.65495120413896e-08,1.99648536124169e-07,0.345
"342","ABW","HUN",5.7041298572011e-09,1.14082597144022e-08,0.08
"343","ABW","IRN",1.20999112802527e-07,3.6299733840758e-07,0.34
"344","ABW","ISR",4.94799943424618e-07,1.48439983027385e-06,0.328
"345","ABW","LUX",3.47438226739275e-10,1.04231468021782e-09,0.323
"346","ABW","MDG",1.3897529069571e-09,4.1692587208713e-09,0.356
"347","ABW","MYS",2.65931007563626e-05,5.38759125208962e-05,0.094
"348","ABW","MUS",3.9374151007523e-09,8.34679454674531e-09,0.09
"349","ABW","MNG",9.07493346018949e-09,2.72248003805685e-08,0.348
"350","ABW","MNE",6.9487645347855e-10,2.08462936043565e-09,0.339
"351","ABW","NPL",3.97466406987872e-10,1.19239922096362e-09,0.335
"352","ABW","NIC",1.70330912469692e-06,3.40661824939385e-06,0.106
"353","ABW","PHL",2.33722059596211e-07,6.95980502525669e-07,0.082
"354","ABW","ROU",1.127016142059e-09,2.42343520780036e-09,0.087
"355","ABW","RUS",1.73719113369637e-09,5.21157340108912e-09,0.351
"356","ABW","RWA",1.3897529069571e-09,4.1692587208713e-09,0.305
"357","ABW","KNA",8.21065408302859e-08,2.46319622490858e-07,0.327
"358","ABW","SEN",5.47953125120013e-07,1.64385937536004e-06,0.303
"359","ABW","LKA",8.64279377160904e-10,2.59283813148271e-09,0.316
"360","ABW","SDN",1.14880449671341e-05,3.44641349014024e-05,0.335
"361","ABW","TUR",5.10097480112425e-09,1.42606097231549e-08,0.086
"362","ABW","ZMB",2.50813666964154e-09,6.48209532870678e-09,0.115
